,Movie_name,IMDB_rating,metascore,number_of_votes,year
556,Lord of War,7.6,62,"276,253",2005
557,Serenity,7.9,74,"268,522",2005
558,Kingdom of Heaven,7.2,63,"248,485",2005
559,Pride & Prejudice,7.8,82,"228,947",2005
560,Corpse Bride,7.4,83,"221,727",2005
561,Walk the Line,7.9,72,"211,170",2005
562,A History of Violence,7.5,81,"209,623",2005
563,Thank You for Smoking,7.6,71,"205,269",2005
564,Kiss Kiss Bang Bang,7.6,72,"201,089",2005
565,Munich,7.6,74,"197,587",2005
566,Match Point,7.6,72,"189,941",2005
567,The Descent,7.2,71,"182,913",2005
568,The Hitchhiker's Guide to the Galaxy,6.8,63,"176,434",2005
569,Cinderella Man,8.0,69,"165,592",2005
570,Batman Begins,8.2,70,"1,179,479",2005
571,V for Vendetta,8.2,62,"943,867",2005
572,Sin City,8.0,74,"712,522",2005
573,Star Wars: Episode III - Revenge of the Sith,7.6,68,"633,294",2005
574,Harry Potter and the Goblet of Fire,7.7,81,"483,140",2005
575,Charlie and the Chocolate Factory,6.6,72,"385,693",2005
576,War of the Worlds,6.5,73,"384,449",2005
577,King Kong,7.2,81,"363,654",2005
578,The 40 Year Old Virgin,7.1,73,"360,821",2005
579,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,75,"337,038",2005
580,Wedding Crashers,7.0,64,"312,346",2005
581,Brokeback Mountain,7.7,87,"297,103",2005
582,Lord of War,7.6,62,"276,253",2005
583,Serenity,7.9,74,"268,522",2005
584,Kingdom of Heaven,7.2,63,"248,485",2005
585,Pride & Prejudice,7.8,82,"228,947",2005
586,Corpse Bride,7.4,83,"221,727",2005
587,Walk the Line,7.9,72,"211,170",2005
588,A History of Violence,7.5,81,"209,623",2005
589,Thank You for Smoking,7.6,71,"205,269",2005
590,Kiss Kiss Bang Bang,7.6,72,"201,089",2005
591,Munich,7.6,74,"197,587",2005
592,Match Point,7.6,72,"189,941",2005
593,The Descent,7.2,71,"182,913",2005
594,The Hitchhiker's Guide to the Galaxy,6.8,63,"176,434",2005
595,Cinderella Man,8.0,69,"165,592",2005
596,The Departed,8.5,85,"1,062,645",2006
597,The Prestige,8.5,66,"1,051,396",2006
598,Pan's Labyrinth,8.2,98,"566,936",2006
599,Casino Royale,8.0,80,"535,692",2006
600,Blood Diamond,8.0,64,"459,390",2006
601,Children of Men,7.9,84,"426,759",2006
602,Little Miss Sunshine,7.8,80,"406,707",2006
603,The Pursuit of Happyness,8.0,64,"401,673",2006
604,The Devil Wears Prada,6.9,62,"336,287",2006
605,The Illusionist,7.6,68,"335,100",2006
606,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,89,"330,177",2006
607,Cars,7.1,73,"324,719",2006
608,The Lives of Others,8.4,89,"318,672",2006
609,Inside Man,7.6,76,"311,510",2006
610,Mission: Impossible III,6.9,66,"303,623",2006
611,Babel,7.5,69,"271,888",2006
612,Apocalypto,7.8,68,"268,932",2006
613,Superman Returns,6.1,72,"259,352",2006
614,Stranger Than Fiction,7.6,67,"205,822",2006
615,Rocky Balboa,7.2,63,"188,776",2006
616,The Last King of Scotland,7.7,74,"164,416",2006
617,Happy Feet,6.5,77,"156,334",2006
618,Talladega Nights: The Ballad of Ricky Bobby,6.6,66,"152,465",2006
619,Over the Hedge,6.7,67,"146,302",2006
620,Letters from Iwo Jima,7.9,89,"145,680",2006
621,The Departed,8.5,85,"1,062,645",2006
622,The Prestige,8.5,66,"1,051,396",2006
623,Pan's Labyrinth,8.2,98,"566,936",2006
624,Casino Royale,8.0,80,"535,692",2006
625,Blood Diamond,8.0,64,"459,390",2006
626,Children of Men,7.9,84,"426,759",2006
627,Little Miss Sunshine,7.8,80,"406,707",2006
628,The Pursuit of Happyness,8.0,64,"401,673",2006
629,The Devil Wears Prada,6.9,62,"336,287",2006
630,The Illusionist,7.6,68,"335,100",2006
631,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,89,"330,177",2006
632,Cars,7.1,73,"324,719",2006
633,The Lives of Others,8.4,89,"318,672",2006
634,Inside Man,7.6,76,"311,510",2006
635,Mission: Impossible III,6.9,66,"303,623",2006
636,Babel,7.5,69,"271,888",2006
637,Apocalypto,7.8,68,"268,932",2006
638,Superman Returns,6.1,72,"259,352",2006
639,Stranger Than Fiction,7.6,67,"205,822",2006
640,Rocky Balboa,7.2,63,"188,776",2006
641,The Last King of Scotland,7.7,74,"164,416",2006
642,Happy Feet,6.5,77,"156,334",2006
643,Talladega Nights: The Ballad of Ricky Bobby,6.6,66,"152,465",2006
644,Over the Hedge,6.7,67,"146,302",2006
645,Letters from Iwo Jima,7.9,89,"145,680",2006
646,The Departed,8.5,85,"1,062,645",2006
647,The Prestige,8.5,66,"1,051,396",2006
648,Pan's Labyrinth,8.2,98,"566,936",2006
649,Casino Royale,8.0,80,"535,692",2006
650,Blood Diamond,8.0,64,"459,390",2006
651,Children of Men,7.9,84,"426,759",2006
652,Little Miss Sunshine,7.8,80,"406,707",2006
653,The Pursuit of Happyness,8.0,64,"401,673",2006
654,The Devil Wears Prada,6.9,62,"336,287",2006
655,The Illusionist,7.6,68,"335,100",2006
656,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,89,"330,177",2006
657,Cars,7.1,73,"324,719",2006
658,The Lives of Others,8.4,89,"318,672",2006
659,Inside Man,7.6,76,"311,510",2006
660,Mission: Impossible III,6.9,66,"303,623",2006
661,Babel,7.5,69,"271,888",2006
662,Apocalypto,7.8,68,"268,932",2006
663,Superman Returns,6.1,72,"259,352",2006
664,Stranger Than Fiction,7.6,67,"205,822",2006
665,Rocky Balboa,7.2,63,"188,776",2006
666,The Last King of Scotland,7.7,74,"164,416",2006
667,Happy Feet,6.5,77,"156,334",2006
668,Talladega Nights: The Ballad of Ricky Bobby,6.6,66,"152,465",2006
669,Over the Hedge,6.7,67,"146,302",2006
670,Letters from Iwo Jima,7.9,89,"145,680",2006
671,The Departed,8.5,85,"1,062,645",2006
672,The Prestige,8.5,66,"1,051,396",2006
673,Pan's Labyrinth,8.2,98,"566,936",2006
674,Casino Royale,8.0,80,"535,692",2006
675,Blood Diamond,8.0,64,"459,390",2006
676,Children of Men,7.9,84,"426,759",2006
677,Little Miss Sunshine,7.8,80,"406,707",2006
678,The Pursuit of Happyness,8.0,64,"401,673",2006
679,The Devil Wears Prada,6.9,62,"336,287",2006
680,The Illusionist,7.6,68,"335,100",2006
681,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.3,89,"330,177",2006
682,Cars,7.1,73,"324,719",2006
683,The Lives of Others,8.4,89,"318,672",2006
684,Inside Man,7.6,76,"311,510",2006
685,Mission: Impossible III,6.9,66,"303,623",2006
686,Babel,7.5,69,"271,888",2006
687,Apocalypto,7.8,68,"268,932",2006
688,Superman Returns,6.1,72,"259,352",2006
689,Stranger Than Fiction,7.6,67,"205,822",2006
690,Rocky Balboa,7.2,63,"188,776",2006
691,The Last King of Scotland,7.7,74,"164,416",2006
692,Happy Feet,6.5,77,"156,334",2006
693,Talladega Nights: The Ballad of Ricky Bobby,6.6,66,"152,465",2006
694,Over the Hedge,6.7,67,"146,302",2006
695,Letters from Iwo Jima,7.9,89,"145,680",2006
696,No Country for Old Men,8.1,91,"758,683",2007
697,I Am Legend,7.2,65,"628,137",2007
698,The Bourne Ultimatum,8.0,85,"577,052",2007
699,Ratatouille,8.0,96,"571,873",2007
700,Transformers,7.1,61,"566,317",2007
701,Into the Wild,8.1,73,"519,924",2007
702,Superbad,7.6,76,"479,149",2007
703,Juno,7.5,81,"463,163",2007
704,There Will Be Blood,8.2,93,"458,709",2007
705,Harry Potter and the Order of the Phoenix,7.5,71,"448,251",2007
706,Hot Fuzz,7.9,81,"421,227",2007
707,Zodiac,7.7,78,"385,870",2007
708,Live Free or Die Hard,7.1,69,"369,253",2007
709,American Gangster,7.8,76,"364,058",2007
710,Knocked Up,7.0,85,"329,658",2007
711,Sweeney Todd: The Demon Barber of Fleet Street,7.4,83,"320,321",2007
712,Ocean's Thirteen,6.9,62,"295,180",2007
713,The Simpsons Movie,7.3,80,"289,865",2007
714,3:10 to Yuma,7.7,76,"268,332",2007
715,28 Weeks Later,7.0,78,"240,073",2007
716,1408,6.8,64,"240,038",2007
717,Stardust,7.7,66,"237,736",2007
718,Gone Baby Gone,7.7,72,"231,833",2007
719,Atonement,7.8,85,"226,626",2007
720,Sunshine,7.3,64,"218,360",2007
721,Eastern Promises,7.7,82,"213,175",2007
722,Paranormal Activity,6.3,68,"206,806",2007
723,Disturbia,6.9,62,"206,306",2007
724,Grindhouse,7.6,77,"168,953",2007
725,Fracture,7.2,68,"167,678",2007
726,The Darjeeling Limited,7.2,67,"164,070",2007
727,Enchanted,7.1,75,"164,027",2007
728,No Country for Old Men,8.1,91,"758,683",2007
729,I Am Legend,7.2,65,"628,137",2007
730,The Bourne Ultimatum,8.0,85,"577,052",2007
731,Ratatouille,8.0,96,"571,873",2007
732,Transformers,7.1,61,"566,317",2007
733,Into the Wild,8.1,73,"519,924",2007
734,Superbad,7.6,76,"479,149",2007
735,Juno,7.5,81,"463,163",2007
736,There Will Be Blood,8.2,93,"458,709",2007
737,Harry Potter and the Order of the Phoenix,7.5,71,"448,251",2007
738,Hot Fuzz,7.9,81,"421,227",2007
739,Zodiac,7.7,78,"385,870",2007
740,Live Free or Die Hard,7.1,69,"369,253",2007
741,American Gangster,7.8,76,"364,058",2007
742,Knocked Up,7.0,85,"329,658",2007
743,Sweeney Todd: The Demon Barber of Fleet Street,7.4,83,"320,321",2007
744,Ocean's Thirteen,6.9,62,"295,180",2007
745,The Simpsons Movie,7.3,80,"289,865",2007
746,3:10 to Yuma,7.7,76,"268,332",2007
747,28 Weeks Later,7.0,78,"240,073",2007
748,1408,6.8,64,"240,038",2007
749,Stardust,7.7,66,"237,736",2007
750,Gone Baby Gone,7.7,72,"231,833",2007
751,Atonement,7.8,85,"226,626",2007
752,Sunshine,7.3,64,"218,360",2007
753,Eastern Promises,7.7,82,"213,175",2007
754,Paranormal Activity,6.3,68,"206,806",2007
755,Disturbia,6.9,62,"206,306",2007
756,Grindhouse,7.6,77,"168,953",2007
757,Fracture,7.2,68,"167,678",2007
758,The Darjeeling Limited,7.2,67,"164,070",2007
759,Enchanted,7.1,75,"164,027",2007
760,No Country for Old Men,8.1,91,"758,683",2007
761,I Am Legend,7.2,65,"628,137",2007
762,The Bourne Ultimatum,8.0,85,"577,052",2007
763,Ratatouille,8.0,96,"571,873",2007
764,Transformers,7.1,61,"566,317",2007
765,Into the Wild,8.1,73,"519,924",2007
766,Superbad,7.6,76,"479,149",2007
767,Juno,7.5,81,"463,163",2007
768,There Will Be Blood,8.2,93,"458,709",2007
769,Harry Potter and the Order of the Phoenix,7.5,71,"448,251",2007
770,Hot Fuzz,7.9,81,"421,227",2007
771,Zodiac,7.7,78,"385,870",2007
772,Live Free or Die Hard,7.1,69,"369,253",2007
773,American Gangster,7.8,76,"364,058",2007
774,Knocked Up,7.0,85,"329,658",2007
775,Sweeney Todd: The Demon Barber of Fleet Street,7.4,83,"320,321",2007
776,Ocean's Thirteen,6.9,62,"295,180",2007
777,The Simpsons Movie,7.3,80,"289,865",2007
778,3:10 to Yuma,7.7,76,"268,332",2007
779,28 Weeks Later,7.0,78,"240,073",2007
780,1408,6.8,64,"240,038",2007
781,Stardust,7.7,66,"237,736",2007
782,Gone Baby Gone,7.7,72,"231,833",2007
783,Atonement,7.8,85,"226,626",2007
784,Sunshine,7.3,64,"218,360",2007
785,Eastern Promises,7.7,82,"213,175",2007
786,Paranormal Activity,6.3,68,"206,806",2007
787,Disturbia,6.9,62,"206,306",2007
788,Grindhouse,7.6,77,"168,953",2007
789,Fracture,7.2,68,"167,678",2007
790,The Darjeeling Limited,7.2,67,"164,070",2007
791,Enchanted,7.1,75,"164,027",2007
792,No Country for Old Men,8.1,91,"758,683",2007
793,I Am Legend,7.2,65,"628,137",2007
794,The Bourne Ultimatum,8.0,85,"577,052",2007
795,Ratatouille,8.0,96,"571,873",2007
796,Transformers,7.1,61,"566,317",2007
797,Into the Wild,8.1,73,"519,924",2007
798,Superbad,7.6,76,"479,149",2007
799,Juno,7.5,81,"463,163",2007
800,There Will Be Blood,8.2,93,"458,709",2007
801,Harry Potter and the Order of the Phoenix,7.5,71,"448,251",2007
802,Hot Fuzz,7.9,81,"421,227",2007
803,Zodiac,7.7,78,"385,870",2007
804,Live Free or Die Hard,7.1,69,"369,253",2007
805,American Gangster,7.8,76,"364,058",2007
806,Knocked Up,7.0,85,"329,658",2007
807,Sweeney Todd: The Demon Barber of Fleet Street,7.4,83,"320,321",2007
808,Ocean's Thirteen,6.9,62,"295,180",2007
809,The Simpsons Movie,7.3,80,"289,865",2007
810,3:10 to Yuma,7.7,76,"268,332",2007
811,28 Weeks Later,7.0,78,"240,073",2007
812,1408,6.8,64,"240,038",2007
813,Stardust,7.7,66,"237,736",2007
814,Gone Baby Gone,7.7,72,"231,833",2007
815,Atonement,7.8,85,"226,626",2007
816,Sunshine,7.3,64,"218,360",2007
817,Eastern Promises,7.7,82,"213,175",2007
818,Paranormal Activity,6.3,68,"206,806",2007
819,Disturbia,6.9,62,"206,306",2007
820,Grindhouse,7.6,77,"168,953",2007
821,Fracture,7.2,68,"167,678",2007
822,The Darjeeling Limited,7.2,67,"164,070",2007
823,Enchanted,7.1,75,"164,027",2007
824,The Dark Knight,9.0,84,"2,035,687",2008
825,WALL·E,8.4,95,"894,065",2008
826,Iron Man,7.9,79,"842,521",2008
827,Slumdog Millionaire,8.0,86,"741,539",2008
828,Gran Torino,8.1,72,"664,222",2008
829,The Curious Case of Benjamin Button,7.8,70,"534,619",2008
830,The Incredible Hulk,6.7,61,"391,719",2008
831,The Hurt Locker,7.6,94,"389,222",2008
832,Indiana Jones and the Kingdom of the Crystal Skull,6.2,65,"389,161",2008
833,Kung Fu Panda,7.6,73,"376,148",2008
834,In Bruges,7.9,67,"358,707",2008
835,Tropic Thunder,7.0,71,"348,949",2008
836,Cloverfield,7.0,64,"348,512",2008
837,Wanted,6.7,64,"337,565",2008
838,Pineapple Express,7.0,64,"290,727",2008
839,Burn After Reading,7.0,63,"285,458",2008
840,The Wrestler,7.9,81,"276,014",2008
841,Forgetting Sarah Marshall,7.2,67,"246,153",2008
842,Hellboy II: The Golden Army,7.0,78,"237,560",2008
843,Vicky Cristina Barcelona,7.1,70,"226,321",2008
844,Changeling,7.7,63,"221,904",2008
845,Role Models,6.8,61,"210,772",2008
846,Låt den rätte komma in,7.9,82,"193,902",2008
847,Madagascar: Escape 2 Africa,6.7,61,"181,042",2008
848,The Chronicles of Narnia: Prince Caspian,6.5,62,"177,535",2008
849,Revolutionary Road,7.3,69,"176,739",2008
850,The Dark Knight,9.0,84,"2,035,687",2008
851,WALL·E,8.4,95,"894,065",2008
852,Iron Man,7.9,79,"842,521",2008
853,Slumdog Millionaire,8.0,86,"741,539",2008
854,Gran Torino,8.1,72,"664,222",2008
855,The Curious Case of Benjamin Button,7.8,70,"534,619",2008
856,The Incredible Hulk,6.7,61,"391,719",2008
857,The Hurt Locker,7.6,94,"389,222",2008
858,Indiana Jones and the Kingdom of the Crystal Skull,6.2,65,"389,161",2008
859,Kung Fu Panda,7.6,73,"376,148",2008
860,In Bruges,7.9,67,"358,707",2008
861,Tropic Thunder,7.0,71,"348,949",2008
862,Cloverfield,7.0,64,"348,512",2008
863,Wanted,6.7,64,"337,565",2008
864,Pineapple Express,7.0,64,"290,727",2008
865,Burn After Reading,7.0,63,"285,458",2008
866,The Wrestler,7.9,81,"276,014",2008
867,Forgetting Sarah Marshall,7.2,67,"246,153",2008
868,Hellboy II: The Golden Army,7.0,78,"237,560",2008
869,Vicky Cristina Barcelona,7.1,70,"226,321",2008
870,Changeling,7.7,63,"221,904",2008
871,Role Models,6.8,61,"210,772",2008
872,Låt den rätte komma in,7.9,82,"193,902",2008
873,Madagascar: Escape 2 Africa,6.7,61,"181,042",2008
874,The Chronicles of Narnia: Prince Caspian,6.5,62,"177,535",2008
875,Revolutionary Road,7.3,69,"176,739",2008
876,The Dark Knight,9.0,84,"2,035,687",2008
877,WALL·E,8.4,95,"894,065",2008
878,Iron Man,7.9,79,"842,521",2008
879,Slumdog Millionaire,8.0,86,"741,539",2008
880,Gran Torino,8.1,72,"664,222",2008
881,The Curious Case of Benjamin Button,7.8,70,"534,619",2008
882,The Incredible Hulk,6.7,61,"391,719",2008
883,The Hurt Locker,7.6,94,"389,222",2008
884,Indiana Jones and the Kingdom of the Crystal Skull,6.2,65,"389,161",2008
885,Kung Fu Panda,7.6,73,"376,148",2008
886,In Bruges,7.9,67,"358,707",2008
887,Tropic Thunder,7.0,71,"348,949",2008
888,Cloverfield,7.0,64,"348,512",2008
889,Wanted,6.7,64,"337,565",2008
890,Pineapple Express,7.0,64,"290,727",2008
891,Burn After Reading,7.0,63,"285,458",2008
892,The Wrestler,7.9,81,"276,014",2008
893,Forgetting Sarah Marshall,7.2,67,"246,153",2008
894,Hellboy II: The Golden Army,7.0,78,"237,560",2008
895,Vicky Cristina Barcelona,7.1,70,"226,321",2008
896,Changeling,7.7,63,"221,904",2008
897,Role Models,6.8,61,"210,772",2008
898,Låt den rätte komma in,7.9,82,"193,902",2008
899,Madagascar: Escape 2 Africa,6.7,61,"181,042",2008
900,The Chronicles of Narnia: Prince Caspian,6.5,62,"177,535",2008
901,Revolutionary Road,7.3,69,"176,739",2008
902,The Dark Knight,9.0,84,"2,035,687",2008
903,WALL·E,8.4,95,"894,065",2008
904,Iron Man,7.9,79,"842,521",2008
905,Slumdog Millionaire,8.0,86,"741,539",2008
906,Gran Torino,8.1,72,"664,222",2008
907,The Curious Case of Benjamin Button,7.8,70,"534,619",2008
908,The Incredible Hulk,6.7,61,"391,719",2008
909,The Hurt Locker,7.6,94,"389,222",2008
910,Indiana Jones and the Kingdom of the Crystal Skull,6.2,65,"389,161",2008
911,Kung Fu Panda,7.6,73,"376,148",2008
912,In Bruges,7.9,67,"358,707",2008
913,Tropic Thunder,7.0,71,"348,949",2008
914,Cloverfield,7.0,64,"348,512",2008
915,Wanted,6.7,64,"337,565",2008
916,Pineapple Express,7.0,64,"290,727",2008
917,Burn After Reading,7.0,63,"285,458",2008
918,The Wrestler,7.9,81,"276,014",2008
919,Forgetting Sarah Marshall,7.2,67,"246,153",2008
920,Hellboy II: The Golden Army,7.0,78,"237,560",2008
921,Vicky Cristina Barcelona,7.1,70,"226,321",2008
922,Changeling,7.7,63,"221,904",2008
923,Role Models,6.8,61,"210,772",2008
924,Låt den rätte komma in,7.9,82,"193,902",2008
925,Madagascar: Escape 2 Africa,6.7,61,"181,042",2008
926,The Chronicles of Narnia: Prince Caspian,6.5,62,"177,535",2008
927,Revolutionary Road,7.3,69,"176,739",2008
928,Inglourious Basterds,8.3,69,"1,104,453",2009
929,Avatar,7.8,83,"1,033,384",2009
930,Up,8.3,88,"833,807",2009
931,The Hangover,7.7,73,"664,382",2009
932,District 9,7.9,81,"600,154",2009
933,Star Trek,8.0,82,"554,122",2009
934,Zombieland,7.6,73,"453,323",2009
935,(500) Days of Summer,7.7,76,"437,534",2009
936,Harry Potter and the Half-Blood Prince,7.6,78,"413,053",2009
937,Moon,7.9,67,"309,665",2009
938,Up in the Air,7.4,83,"299,267",2009
939,3 Idiots,8.4,67,"294,716",2009
940,Public Enemies,7.0,70,"259,968",2009
941,The Road,7.3,64,"206,167",2009
942,Män som hatar kvinnor,7.8,76,"196,717",2009
943,Mr. Nobody,7.8,63,"195,200",2009
944,"I Love You, Man",7.0,70,"184,688",2009
945,Cloudy with a Chance of Meatballs,7.0,66,"184,161",2009
946,Coraline,7.7,80,"177,070",2009
947,Drag Me to Hell,6.6,83,"176,059",2009
948,Fantastic Mr. Fox,7.9,83,"174,979",2009
949,El secreto de sus ojos,8.2,80,"171,024",2009
950,Inglourious Basterds,8.3,69,"1,104,453",2009
951,Avatar,7.8,83,"1,033,384",2009
952,Up,8.3,88,"833,807",2009
953,The Hangover,7.7,73,"664,382",2009
954,District 9,7.9,81,"600,154",2009
955,Star Trek,8.0,82,"554,122",2009
956,Zombieland,7.6,73,"453,323",2009
957,(500) Days of Summer,7.7,76,"437,534",2009
958,Harry Potter and the Half-Blood Prince,7.6,78,"413,053",2009
959,Moon,7.9,67,"309,665",2009
960,Up in the Air,7.4,83,"299,267",2009
961,3 Idiots,8.4,67,"294,716",2009
962,Public Enemies,7.0,70,"259,968",2009
963,The Road,7.3,64,"206,167",2009
964,Män som hatar kvinnor,7.8,76,"196,717",2009
965,Mr. Nobody,7.8,63,"195,200",2009
966,"I Love You, Man",7.0,70,"184,688",2009
967,Cloudy with a Chance of Meatballs,7.0,66,"184,161",2009
968,Coraline,7.7,80,"177,070",2009
969,Drag Me to Hell,6.6,83,"176,059",2009
970,Fantastic Mr. Fox,7.9,83,"174,979",2009
971,El secreto de sus ojos,8.2,80,"171,024",2009
972,Inglourious Basterds,8.3,69,"1,104,453",2009
973,Avatar,7.8,83,"1,033,384",2009
974,Up,8.3,88,"833,807",2009
975,The Hangover,7.7,73,"664,382",2009
976,District 9,7.9,81,"600,154",2009
977,Star Trek,8.0,82,"554,122",2009
978,Zombieland,7.6,73,"453,323",2009
979,(500) Days of Summer,7.7,76,"437,534",2009
980,Harry Potter and the Half-Blood Prince,7.6,78,"413,053",2009
981,Moon,7.9,67,"309,665",2009
982,Up in the Air,7.4,83,"299,267",2009
983,3 Idiots,8.4,67,"294,716",2009
984,Public Enemies,7.0,70,"259,968",2009
985,The Road,7.3,64,"206,167",2009
986,Män som hatar kvinnor,7.8,76,"196,717",2009
987,Mr. Nobody,7.8,63,"195,200",2009
988,"I Love You, Man",7.0,70,"184,688",2009
989,Cloudy with a Chance of Meatballs,7.0,66,"184,161",2009
990,Coraline,7.7,80,"177,070",2009
991,Drag Me to Hell,6.6,83,"176,059",2009
992,Fantastic Mr. Fox,7.9,83,"174,979",2009
993,El secreto de sus ojos,8.2,80,"171,024",2009
994,Inglourious Basterds,8.3,69,"1,104,453",2009
995,Avatar,7.8,83,"1,033,384",2009
996,Up,8.3,88,"833,807",2009
997,The Hangover,7.7,73,"664,382",2009
998,District 9,7.9,81,"600,154",2009
999,Star Trek,8.0,82,"554,122",2009
1000,Zombieland,7.6,73,"453,323",2009
1001,(500) Days of Summer,7.7,76,"437,534",2009
1002,Harry Potter and the Half-Blood Prince,7.6,78,"413,053",2009
1003,Moon,7.9,67,"309,665",2009
1004,Up in the Air,7.4,83,"299,267",2009
1005,3 Idiots,8.4,67,"294,716",2009
1006,Public Enemies,7.0,70,"259,968",2009
1007,The Road,7.3,64,"206,167",2009
1008,Män som hatar kvinnor,7.8,76,"196,717",2009
1009,Mr. Nobody,7.8,63,"195,200",2009
1010,"I Love You, Man",7.0,70,"184,688",2009
1011,Cloudy with a Chance of Meatballs,7.0,66,"184,161",2009
1012,Coraline,7.7,80,"177,070",2009
1013,Drag Me to Hell,6.6,83,"176,059",2009
1014,Fantastic Mr. Fox,7.9,83,"174,979",2009
1015,El secreto de sus ojos,8.2,80,"171,024",2009
1016,Inception,8.8,74,"1,814,574",2010
1017,Shutter Island,8.1,63,"992,424",2010
1018,Toy Story 3,8.3,92,"672,291",2010
1019,Black Swan,8.0,79,"643,120",2010
1020,How to Train Your Dragon,8.1,74,"602,725",2010
1021,The King's Speech,8.0,88,"588,674",2010
1022,The Social Network,7.7,95,"564,206",2010
1023,Kick-Ass,7.6,66,"493,535",2010
1024,Despicable Me,7.7,72,"460,081",2010
1025,Harry Potter and the Deathly Hallows: Part 1,7.7,65,"419,538",2010
1026,Tangled,7.8,71,"361,941",2010
1027,Scott Pilgrim vs. the World,7.5,69,"335,412",2010
1028,Easy A,7.1,72,"327,195",2010
1029,127 Hours,7.6,82,"320,961",2010
1030,The Town,7.6,74,"320,087",2010
1031,The Fighter,7.8,79,"314,373",2010
1032,True Grit,7.6,80,"281,555",2010
1033,Salt,6.4,65,"275,618",2010
1034,The Other Guys,6.7,64,"219,696",2010
1035,Megamind,7.3,63,"205,357",2010
1036,Unstoppable,6.8,69,"171,751",2010
1037,Blue Valentine,7.4,81,"168,800",2010
1038,Get Him to the Greek,6.4,65,"160,877",2010
1039,Hot Tub Time Machine,6.4,63,"153,104",2010
1040,Inception,8.8,74,"1,814,574",2010
1041,Shutter Island,8.1,63,"992,424",2010
1042,Toy Story 3,8.3,92,"672,291",2010
1043,Black Swan,8.0,79,"643,120",2010
1044,How to Train Your Dragon,8.1,74,"602,725",2010
1045,The King's Speech,8.0,88,"588,674",2010
1046,The Social Network,7.7,95,"564,206",2010
1047,Kick-Ass,7.6,66,"493,535",2010
1048,Despicable Me,7.7,72,"460,081",2010
1049,Harry Potter and the Deathly Hallows: Part 1,7.7,65,"419,538",2010
1050,Tangled,7.8,71,"361,941",2010
1051,Scott Pilgrim vs. the World,7.5,69,"335,412",2010
1052,Easy A,7.1,72,"327,195",2010
1053,127 Hours,7.6,82,"320,961",2010
1054,The Town,7.6,74,"320,087",2010
1055,The Fighter,7.8,79,"314,373",2010
1056,True Grit,7.6,80,"281,555",2010
1057,Salt,6.4,65,"275,618",2010
1058,The Other Guys,6.7,64,"219,696",2010
1059,Megamind,7.3,63,"205,357",2010
1060,Unstoppable,6.8,69,"171,751",2010
1061,Blue Valentine,7.4,81,"168,800",2010
1062,Get Him to the Greek,6.4,65,"160,877",2010
1063,Hot Tub Time Machine,6.4,63,"153,104",2010
1064,Inception,8.8,74,"1,814,574",2010
1065,Shutter Island,8.1,63,"992,424",2010
1066,Toy Story 3,8.3,92,"672,291",2010
1067,Black Swan,8.0,79,"643,120",2010
1068,How to Train Your Dragon,8.1,74,"602,725",2010
1069,The King's Speech,8.0,88,"588,674",2010
1070,The Social Network,7.7,95,"564,206",2010
1071,Kick-Ass,7.6,66,"493,535",2010
1072,Despicable Me,7.7,72,"460,081",2010
1073,Harry Potter and the Deathly Hallows: Part 1,7.7,65,"419,538",2010
1074,Tangled,7.8,71,"361,941",2010
1075,Scott Pilgrim vs. the World,7.5,69,"335,412",2010
1076,Easy A,7.1,72,"327,195",2010
1077,127 Hours,7.6,82,"320,961",2010
1078,The Town,7.6,74,"320,087",2010
1079,The Fighter,7.8,79,"314,373",2010
1080,True Grit,7.6,80,"281,555",2010
1081,Salt,6.4,65,"275,618",2010
1082,The Other Guys,6.7,64,"219,696",2010
1083,Megamind,7.3,63,"205,357",2010
1084,Unstoppable,6.8,69,"171,751",2010
1085,Blue Valentine,7.4,81,"168,800",2010
1086,Get Him to the Greek,6.4,65,"160,877",2010
1087,Hot Tub Time Machine,6.4,63,"153,104",2010
1088,Inception,8.8,74,"1,814,574",2010
1089,Shutter Island,8.1,63,"992,424",2010
1090,Toy Story 3,8.3,92,"672,291",2010
1091,Black Swan,8.0,79,"643,120",2010
1092,How to Train Your Dragon,8.1,74,"602,725",2010
1093,The King's Speech,8.0,88,"588,674",2010
1094,The Social Network,7.7,95,"564,206",2010
1095,Kick-Ass,7.6,66,"493,535",2010
1096,Despicable Me,7.7,72,"460,081",2010
1097,Harry Potter and the Deathly Hallows: Part 1,7.7,65,"419,538",2010
1098,Tangled,7.8,71,"361,941",2010
1099,Scott Pilgrim vs. the World,7.5,69,"335,412",2010
1100,Easy A,7.1,72,"327,195",2010
1101,127 Hours,7.6,82,"320,961",2010
1102,The Town,7.6,74,"320,087",2010
1103,The Fighter,7.8,79,"314,373",2010
1104,True Grit,7.6,80,"281,555",2010
1105,Salt,6.4,65,"275,618",2010
1106,The Other Guys,6.7,64,"219,696",2010
1107,Megamind,7.3,63,"205,357",2010
1108,Unstoppable,6.8,69,"171,751",2010
